tweet,embedding_negative,embedding_neutral,embedding_positive,sentiment
"Bill Clinton: “I can’t say I was surprised” that Trump won.

The theory that he intentionally tanked Kamala’s campaign seems more plausible than ever.",0.280017,0.57426715,0.1457159,neutral
"BREAKING: President-elect Donald Trump meets with President Joe Biden in the White House:

BIDEN: “I look forward to having a smooth transition…welcome.”

TRUMP: “Politics is tough, and in many cases not a very nice world, but it is a nice world today.”",0.041735034,0.32077557,0.63748944,positive
Breaking : Joe Biden weighs in on Trump’s landslide victory and his true feelings about Kamala. Many of is aren’t surprised.,0.13217567,0.7521446,0.115679786,neutral
Trump saying Joe Biden won against Barack Obama,0.18791816,0.7338157,0.0782661,neutral
"BREAKING: President Joe Biden issues a classy and presidential statement after Donald Trump's victory.

""Yesterday I spoke with President-elect Trump to congratulate him on his victory, and I assured him that I direct my entire administration to work with his team to ensure a",0.008786994,0.22640625,0.7648068,positive
"Yesterday, I spoke with President-elect Trump to congratulate him on his victory. And I assured him that I would direct my entire Administration to work with his team to ensure a peaceful and orderly transition.

That’s what the American people deserve.",0.0062843636,0.08336417,0.91035146,positive
"JUST IN: President Trump criticizes the Biden-Harris DOJ for indicting him again this week and talks about why he didn't prosecute Hillary Clinton to unify the country.

""This is the worst case of election interference that anyone has ever seen in our country. They do this in",0.906952,0.08866449,0.004383463,negative
"Biden is out. 
Who's next - Kamala Harris or Hillary Clinton, and will President Trump win the election?",0.2831726,0.658986,0.05784139,neutral
"President Joe Biden and former President Donald Trump swept to victory in statewide nominating contests across the country on Tuesday, setting up a historic rematch",0.0014571386,0.2070968,0.79144603,positive
"BREAKING: BIDEN CONGRATULATES TRUMP ON ELECTION WIN

Biden called to congratulate Trump on his election victory over Kamala and invited him to meet at the White House. 

The White House emphasized Biden’s commitment to a smooth transition and the importance of national unity",0.00835231,0.33789355,0.65375423,positive
"President-elect .
@realDonaldTrump
 arrived at White House to meet President Joe Biden, marking a significant moment as both leaders exchanged a handshake. 

But hats off to Biden! He played brilliantly to defeat Kamala Harris & Obamas.",0.005277402,0.09058638,0.9041362,positive
"President Biden on Trump: 'We've gotta lock him up'

MORE INFO: https://bit.ly/40dRFys",0.28486335,0.6690077,0.04612895,neutral
"Biden says Trump defeating Kamala shows America has fair elections.

Follow: 
@AFpost",0.07327664,0.6697915,0.2569318,neutral
