tweet_number,tweet
1,"Flashback: Hillary Clinton disputed validity of 2016 election, called Trump""illegitimate president"" & told Biden not to concede ""under any circumstances."" Dems also objected to 2016 Electoral College. This is the same thing U.S. media is losing their minds about ""because Trump."""
2,"Biden defeats Trump for White House, says 'time to heal'
https://cp24.com/world/biden-defeats-trump-for-white-house-says-time-to-heal-1.5179090…"
3,"The votes are in, but are still being counted. 6 key battleground states are still up for grabs, and both President Donald Trump and former Vice President Joe Biden have paths to the White House. https://cnb.cx/38apWUs"
4,"FLASHBACK: Five years ago today, flanked by then-Vice President Joe Biden, President Obama responded to then-President-elect Trump's victory over Secretary of State Hillary Clinton in the 2016 election."
5,Former President Bill Clinton and Former Secretary of State Hillary Clinton arrive at the Capitol ahead of the inauguration of Joe Biden. https://abcn.ws/3ivKh9F #InaugurationDay
6,Joe Biden Defeats Donald Trump in Historic Presidential Campaign https://peoplem.ag/3p9Dgyf
7,"2016:
 *Clinton supporter* 
       “TRUMP IS NOT MY PRESIDENT!!”
 *Trump supporter”
       “lol, yes he is. Get over it. He is YOUR president! MAGA!”

2020: 
   *Trump supporter*
       “FRAUD! NOT MY PRESIDENT THIS ELECTION WAS STOLEN MAGA TIL I DIE”
    *Biden supporter*"
8,"Georgia voters, along with a clear majority of Americans, chose Joe Biden to be their president. Trump can’t change that, no matter how many oaths he breaks.

GOP legislators who side with his attempts to overturn a free and fair election out themselves as opponents of democracy."
9,"Here's how elected Republicans and conservative media can begin the healing and unifying process: 

Accurately state that Joe Biden was duly elected president in a free and fair election. 

Urge Trump supporters to refrain from further violence. 

For a start."
10,Former President Bill Clinton and Former Secretary of State Hillary Clinton arrive at the Capitol ahead of the inauguration of Joe Biden. https://abcn.ws/3bVGO2Z #InaugurationDay
11,"Biden beat Trump by some 7 million votes.

This should not be surprising even to a moron such as you since Hillary Clinton beat Trump by some 3 million votes.

Biden won the election. Biden will be president."
12,"This is my Pennsylvania redistricting map. Shaded by 2016 president. That election is Trump 9-Clinton 8, which is proportional to the state. Biden likely flipped the 1st. There are six competitive districts, although #6 is likely Safe D by now."
13,"After two political conventions, Joe Biden maintains an advantage over Donald Trump — 51% to 43% — among registered voters, according to a new CNN poll https://cnn.it/31Px3hw"
14,"I Donald J Trump, hereby impeach Joe Biden, Kamala Harris, Barack Obama, Nancy Pelosi, Hillary Clinton, Mitt Romney, Mitch McConnell & Greta Thunberg. I hereby declare that I won the election of 2020 with the biggest landslide.

Signed:
Donald J Trump
President
#TrumpSeriesFinale"
15,Democrat Joe Biden captured the U.S. presidency as voters narrowly rebuffed Republican incumbent Donald Trump's tumultuous leadership and embraced Biden's promise to fight the coronavirus pandemic and fix the economy in a divided nation https://reut.rs/3n0lo7e
16,"Democrat Joe Biden edged closer to winning the White House, expanding his narrow leads over President Trump in the battleground states of Pennsylvania and Georgia https://reut.rs/3eFAw71"
17,"Congress certified U.S. #Electoral College votes early this morning for Joe #Biden. President Donald #Trump has vowed to continue fighting to better America. He also promised an ""orderly transition on Jan. 20"" but didn't mention Biden's name."
18,"“By the time [Donald Trump] comes off the 18th green, someone is going to have to tell him that Joe Biden is the president-elect”

@BBCJonSopel says “the tension has been relieved” in Washington as Joe Biden is projected to become president

#Election2020 http://bbc.in/3l8fYqn"
19,"US President-elect Joe Biden: ""For all those of you who voted for President Trump, I understand the disappointment tonight. I've lost a couple times myself. But now, let's give each other a chance."" https://cnn.it/3eAGZQJ"
20,"Democrat Joe Biden stood on the verge of winning the U.S. presidency, expanding his narrow leads over President Trump in the battleground states of Pennsylvania and Georgia three days after the polls were closed https://reut.rs/3eFAw71"
21,President Trump hit the links Saturday morning as Joe Biden secured the 270 electoral votes needed to win the presidency. https://bit.ly/36cBPqd
22,Hillary and Bill Clinton cast electoral votes in New York as the Electoral College is set to formally elect Joe Biden as president. https://abcn.ws/2KtGr4g
23,"Congress certified U.S. #Electoral College votes early this morning for Joe #Biden. President 
@realDonaldTrump
 has vowed to continue fighting to better America. He also promised an ""orderly transition on Jan. 20"" but didn't mention Biden's name."
24,"BREAKING | Democrat Joe Biden elected 46th president of the US, defeating Republican Donald Trump - CNN

http://ow.ly/lsEB50CemKz"
25,"GaGa, JLo и президент Джо
Подробнее:
https://m.facebook.com/story.php?story_fbid=10225830474734565&id=1413447470…
#USA #US #election #inauguration #trump #biden #president #america #us2021 #pence #ladygaga #gaga #jlo #bush #clinton #obama #capitol #government"
26,"President-elect Joe Biden addresses President Trump's supporters: ""For all those of you who voted for President Trump, I understand the disappointment tonight. I've lost a couple times myself. But now, let's give each other a chance"" https://cnn.it/3eDVuTQ"
27,"Joe Biden wins race to become the next US president

BBC projects he has won the key battleground of Pennsylvania, propelling him over the 270 electoral college vote threshold

#Election2020 http://bbc.in/US2020Latest"
28,Imagine what would have happened four years ago if then Vice President Joseph Biden awarded the election to Hillary Clinton claiming that the electors for Trump in States like Michigan and Pennsylvania needed to be replaced.
29,"Every One is Talking Trump 2024, Well Trump 2024 will just not do, When is this Election that Biden ,Obama,Clinton and the rest of the Deep State operatives stole from American People and the most decent American President since President Regan, President Donald J Trump."
30,"Congress certified U.S. #ElectoralCollege votes for Joe #Biden. #President 
@realDonaldTrump
 has vowed to continue fighting to better America. He also promised an ""orderly transition on Jan. 20"" but didn't mention Biden's name."
31,President-elect Joe Biden's margin of victory over President Trump surpassed 6 million votes on Friday https://cnn.it/3nOWJTD
32,BREAKING: Joe Biden elected 46th US President after trouncing incumbent Donald Trump in crucial Pennsylvania vote
33,"Joe Biden has just beaten Donald Trump to win the White House #Election2020

Here's what you need to know about the 46th president-elect  https://aje.io/el8r3"
34,"Former Secretary of State Hillary Clinton shares her thoughts on Twitter ahead of President-elect Joe Biden and Vice President-elect Kamala Harris taking the oath of office. https://abcn.ws/39SxgD8

#InaugurationDay"
35,"Honduran president JOH investigated for drug smuggling. WP says he's Trump's ally, but Obama Biden backed him when he rigged the election, and he's the son of Clinton's coup against Zelaya."
36,"Remember that time Hillary Clinton sent a mob of angry Democrats to storm the capitol, hang Vice President Biden, and kill Congress to stop the steal when Trump cheated to win the 2020 election?

Yeah, me neither."
37,"On Saturday, Nov. 7, Joe Biden defeated Presdient Donald Trump in the 2020 Election race. Is this the outcome you expected?"
38,"I may get in trouble for this, but I’m going to quote Hillary Clinton and change “Trump” and “2016” to “Biden” and “2020” respectively.

President Biden is an illegitimate President, and he knows he stole the 2020 election."
39,"In an interview w/ Mike Lindell of MyPillow, former President Trump (in a tuxedo?) repeated classic attacks on the media, his 1st impeachment, Hillary Clinton, Biden & Pence. He also repeated lies about the 2020 election and Jan. 6. ""You have been so brave"" Trump told Lindell."
40,Wow. Biden is on track to win by exactly the same margin of electoral votes that Trump beat Clinton four years ago. 306-232. Can’t make this stuff up.
41,"Russia meddled in the 2016 election to hurt Hillary Clinton. President Trump didn't mention ""Russia"" in his first address to Congress in 2017.

Russia meddled in the 2020 election to hurt Biden. President Biden just called out Russia for doing it in his first address to Congress."
42,"“Some of us raised concerns 4 years ago about reports about the Russians, but Hillary Clinton conceded the day after the election, the rest of us recognized Donald Trump as president” 
@RepMcGovern
 refutes Repub line that Dems denied Trump win in 2016 as Trump denies Biden win now"
43,"Imagine how different and interesting America would be if the Vice President was still the loser of the general election. 

From recent history a Clinton/Bush Admin, and an Obama/Romney Admin may have worked. Trump/Clinton and Biden/Trump Admins would have been a dumpster fires."
44,"In 2016 we lamented that our choices for president were Donald Trump and Hillary Clinton. Again in 2020 we lamented the election was between Joe Biden and Donald Trump. Have we asked the question, ""can our cultural produce better leaders?"" I dont believe it can."
45,Donald Trump’s superpower was his inability to tell the difference between his own imagination & reality. He could imagine himself President & became President. He also imagined that the Durham would arrest Biden & Clinton right before the election. #reversethedystopia
46,This is a real statement released tonight by former President Trump in its entirety
47,Prediction The Democrats are scared they will fire  Harris Biden will appoint Hillary Clinton as his vice president then they forced him to resign she becomes number 47 election 2024 it will be between 45 and 47 wow what an election
48,"Former President Bill Clinton and Former Secretary of State Hillary Clinton take their seats at the Capitol ahead of the inauguration of Joe Biden.  

#InaugurationDay
http://abcn.ws/3bVGO2Z"
49,"Presidents Bush 1, Clinton, Bush 2, Obama and Trump all saw the governorships of Virginia and New Jersey swing from their own party to the other party a year after their own election.

President Biden held on the the NJ governorship.

Why is the media doomsdaying the loss of VA?"
50,"Former Secretary of State Hillary Clinton shares her thoughts on Twitter ahead of President-elect Joe Biden and Vice President-elect Kamala Harris taking the oath of office. http://abcn.ws/39SxgD8

#InaugurationDay"
51,"Former Secretary of State Hillary Clinton shares her thoughts on Twitter ahead of President-elect Joe Biden and Vice President-elect Kamala Harris taking the oath of office.

#InaugurationDay 
https://abcn.ws/3iwBLap"
52,"Just three days after the election in 2016:
-> 76% of Clinton voters accepted Trump as President.

Almost three MONTHS after the election in 2020:
-> 25% of Trump voters accept Biden as President.

This is not the same."
53,"Breaking: Heading into the final week of election former Vice President Joe Biden now holds his largest-ever lead over President Trump, according to a new a 12-point margin that’s four times the size of Hillary Clinton’s national advantage over Trump at this point in 2016."
54,"President-elect Joe Biden’s lead in Pennsylvania is about 80,000 votes, or almost double Trump’s lead over Hillary Clinton in the 2016 election."
55,"Former VP Joe Biden holds a wide lead over President Trump in the national race for the White House, according to a new CNN poll. Biden leads Trump 53% to 42% among registered voters, roughly steady from CNN's poll in early March. https://cnn.it/3c91h11"
56,"Joe Biden heads into Election Day with a unique coalition and multiple paths to victory against Pres. Trump — but some Democrats can hardly believe the polls, haunted by the ghosts of 2016. 
https://nbcnews.to/34NE2Jq"
57,"Donald Trump is acknowledging that Hillary Clinton has more class than he ever will.  She conceded her loss the day after the election and gracefully attended his inauguration, but he’s not man enough to attend President Biden’s. Good riddance.  #TrumpIsANationalDisgrace"
58,President Donald Trump and the Republican National Committee have raised $207.5 million since Election Day as the president fundraised off his baseless allegations of widespread election fraud.
59,"Russian President Vladimir Putin is the ""great disruptor"" and people who continue to suggest the 2020 presidential election was not conducted fairly are helping him achieve his goals, former Secretary of State Hillary Clinton said Wednesday morning."
60,"As of 6 a.m. ET Saturday, with approximately 99 per cent of the vote reported, Biden leads Trump by more than 20K votes in two key states."
61,"Former VP Joe Biden holds a wide lead over President Trump in the national race for the White House, according to a new CNN poll. Biden leads Trump 53% to 42% among registered voters, roughly steady from CNN's poll in early March. https://cnn.it/2RsLSkn"
62,"2020 US presidential election total vote (98% in):

President-elect Biden: 80,002,320 (51%)

President Trump: 73,872,995 (47.1%)"
63,"Joe Biden has defeated Donald Trump to become the 46th U.S. president, unseating the incumbent with a pledge to unify and mend a nation reeling from a worsening pandemic, faltering economy and deep political divisions #Election2020 https://trib.al/mxAyIxg"
64,LATEST: After nail-biting days of vote counting across battleground states — Joe Biden managed to pull together a winning electoral coalition to end the presidency of Donald J. Trump #Election2020 https://trib.al/96Z0pig
65,"Joe Biden defeated President Trump to become the next president of the United States, 
@DecisionDeskHQ
 reports. 

Biden also reached another milestone: He received the most votes of any presidential candidate in US history. https://trib.al/BcdwVm4"
66,1/ Joe Biden has been voted the next president of the United States in an election that tested America’s democratic institutions. #Election2020
67,Joe Biden beats Donald Trump to win US Presidential elections... Bye Bye Trump
68,President-elect Joe Biden's margin of victory widens as President Trump's subversion efforts grow more frantic | Analysis https://cnn.it/3kPtZIf
69,President-elect Joe Biden's margin of victory widens as President Trump's subversion efforts grow more frantic | Analysis https://cnn.it/2IR5bD4
70,"After two political conventions, Joe Biden maintains an advantage over Donald Trump — 51% to 43% — among registered voters, according to a new CNN poll https://cnn.it/2Z0DP1Q"
71,"After two political conventions, Joe Biden maintains an advantage over Donald Trump — 51% to 43% — among registered voters, according to a new CNN poll https://cnn.it/3gTP8iv"
72,"President-elect Joe Biden's margin of victory over President Donald Trump surpassed 6 million votes on Friday, as ballots continue to be counted across the nation. https://cnn.it/35Ua1bn"
73,"Donald Trump’s path to reelection narrowed after Joe Biden won Wisconsin and flipped Arizona on Wednesday. Biden also pulled into the lead in Michigan and inched closer to Trump in Georgia, another pickup opportunity that would put the race out of reach."
74,"Biden leads Trump. So did Hillary Clinton. For Democrats, it’s a worrisome campaign deja vu"
75,Joe Biden's lead over Donald Trump is now the widest it has been since he became the Democratic nominee. https://cbc.ca/1.5755976 @EricGrenierCBC
76,"Biden is winning voters who don’t like either of the nominees by more than 40 points. In 2016, Clinton lost them to Trump by 17 points. A 60 point swing like that suggests a massive defeat is coming for Trump."
77,"Hillary Clinton reacts to Joe Biden’s presidential victory: “It’s a history-making ticket, a repudiation of Trump, and a new page for America”"
78,"JUST IN: President Trump said, for the first time, that Joe Biden won the Nov. 3 presidential election"
79,"Joe Biden has won the US presidency over Donald Trump, TV networks have projected, a victory sealed after the Democrat claimed several key battleground states won by the Republican incumbent in 2016."
80,"RACE FOR THE WHITE HOUSE
As of 12:16 a.m. ET

Electoral votes:

- Biden: 237
- Trump: 210
- TBD: 91

(270 needed to win)"
81,"First Mike Pence gives a signal to Pres. Trump that on Jan 6th, he's on his own.
Next President Clinton is dead.
Next China is building islands off the coast of Japan. And that Taiwan is an extension of China. And that Joe Biden honestly won the 2020 presidential election"
82,"Come January 20, Biden will be sworn as the 46th President of the United States. Trump cannot overturn this election. Hillary Clinton had more damaging evidence about the Russian invasion of the American electoral system and could've fought hard to rubbish Donald Trump's.... 1/"
83,Folk's! Joe biden& kamla harris is making a change for a better america. Their doing a better job! Then trump. That's why he's fired. We all believe that if hillary clinton had won the election against trump. She would of made a great president. She would of got things did.
84,So Biden beats Trump by 10%. No president has won an election by that big a margin since Bill Clinton in 1996.
85,"Donald trump was elected because no one wanted Hilary Clinton to become president, Biden is president because most people didn't want to see him for four more years. There is no mandate for progressives in this country. If the election were today Trump would be back #PoliticsLive"
86,"Will we ever have a legitimate President gain?
Bush stole the election from Gore.  Obama was legit but he was a war monger we did not expect. Trump stole the election from Clinton who stole the primary from Sanders. Biden stole the Primary from Sanders. Illegitimately!"
87,"Am still waiting for the election investigation.
Am still waiting for all the Epstein supporters names to be published.
Am still waiting for the Biden/Clinton/Obama/Bush Crime families to be arrested.
Am still waiting for justice to be served and President Trump to save the day !"
88,"From 
@jennagiesta
: President-elect 
@JoeBiden
's margin over 
@realDonaldTrump
 is now more than 7 million votes. Biden's lead over Trump is the second largest since 2000, and is about 2.5x larger than Hillary Clinton's popular vote lead over Trump in 2016. https://cnn.com/election/2020/results/president…"
89,"#ExposeCNN 
I will take CNN, with all its flaws, over Fox news any day.
The election was not stolen, Trump is a liar and all of you who want to have this man as president again are all deranged. Biden won. Deal with it the way we did when the election was stolen from Clinton."
90,"Moving on to the analysis, this election pitted former Vice President Joe Biden (D) against incumbent President Donald Trump (R). Biden improved on Clinton in urban and suburban areas, nearly flipping Oklahoma County, home of Oklahoma City, but Trump improved in eastern Oklahoma."
91,"Clinton claimed in 2019 that Trump is an ""illegitimate president"" and that the 2016 election was unfair.  https://thepoliticalinsider.com/hillary-clinton-conservatives-can-begin-the-healing-by-admitting-biden-will-become-duly-elected-president/…"
